X,Y,NAME,ST,POPULATION
-121.3659748,38.6970837,North Highlands,CA,46506
-117.796214,33.75414753,North Tustin,CA,26469
-118.0829093,33.90689009,Norwalk,CA,109144
-122.557454,38.09161702,Novato,CA,53753
-120.8480251,37.7619969,Oakdale,CA,22288
-122.296043,37.81057809,Oakland,CA,424072
-121.6948932,37.99280407,Oakley,CA,40272
-118.7669223,34.18496699,Oak Park,CA,14245
-117.35678,33.20405814,Oceanside,CA,178228
-119.0278976,35.42493646,Oildale,CA,34776
-121.5549331,39.08167454,Olivehurst,CA,14087
-117.6449617,34.06569793,Ontario,CA,172766
-117.860993,33.80499982,Orange,CA,143309
-121.2207999,38.68801956,Orangevale,CA,36180
-120.4268322,34.86676592,Orcutt,CA,30916
-122.1790738,37.88079593,Orinda,CA,18871
-121.5645622,39.50011708,Oroville,CA,16418
-119.1752592,34.19587017,Oxnard,CA,208362
-122.4780159,37.6111322,Pacifica,CA,38986
-121.9258688,36.61906731,Pacific Grove,CA,15485
-118.1104253,34.57356013,Palmdale,CA,162644
-116.3637465,33.75171187,Palm Desert,CA,52429
-116.513629,33.82202499,Palm Springs,CA,47917
-122.156712,37.44567831,Palo Alto,CA,70608
-118.3973409,33.78717847,Palos Verdes Estates,CA,13939
-121.6063228,39.7558111,Paradise,CA,27028
-118.1651309,33.89760795,Paramount,CA,55901
-121.4518332,38.49939236,Parkway,CA,15674
-119.5418199,36.60914442,Parlier,CA,15451
-118.1389129,34.159755,Pasadena,CA,143928
-121.1469245,37.46763456,Patterson,CA,21480
-117.2232985,33.78971467,Perris,CA,76204
-122.6267538,38.24232499,Petaluma,CA,60738
-117.5667204,34.43363583,Phelan,CA,14914
-118.0887338,33.99018573,Pico Rivera,CA,65016
-122.2300242,37.82253645,Piedmont,CA,11326
-122.2830278,37.99288923,Pinole,CA,19500
-121.9096455,38.02264819,Pittsburg,CA,71065
-117.8552128,33.88085678,Placentia,CA,53156
-120.7979419,38.73087329,Placerville,CA,10691
-122.0759002,37.95415699,Pleasant Hill,CA,34910
-121.8805047,37.66601752,Pleasanton,CA,77613
-117.762555,34.05850595,Pomona,CA,156180
-119.0243325,36.06120415,Porterville,CA,56711
-119.2033688,34.16195543,Port Hueneme,CA,22706
-117.0465244,32.95646193,Poway,CA,50138
-121.6555088,36.80634793,Prunedale,CA,18400
-118.2163307,34.65268262,Quartz Hill,CA,11075
-116.8767159,33.04740959,Ramona,CA,21963
-121.2987774,38.57274981,Rancho Cordova,CA,72311
-117.55778,34.1121748,Rancho Cucamonga,CA,176701
-116.427395,33.76181604,Rancho Mirage,CA,18099
-118.3892378,33.74846498,Rancho Palos Verdes,CA,43718
-116.9196965,32.76239678,Rancho San Diego,CA,22226
-117.5988474,33.63177157,Rancho Santa Margarita,CA,49640
-122.231591,40.16051024,Red Bluff,CA,14454
-122.4141714,40.58880775,Redding,CA,91755
-117.1728231,34.05244259,Redlands,CA,71114
-118.3835432,33.84313158,Redondo Beach,CA,68840
-122.2329615,37.47815564,Redwood City,CA,82966
-119.4472588,36.5962401,Reedley,CA,25310
-117.3885989,34.1129627,Rialto,CA,103677
-122.3458541,37.93631643,Richmond,CA,111036
-117.6619524,35.63089452,Ridgecrest,CA,28272
-121.4417206,38.68752184,Rio Linda,CA,15852
-121.130594,37.74151394,Ripon,CA,15179
-120.9272888,37.72971696,Riverbank,CA,24498
-117.3948359,33.93815681,Riverside,CA,319466
-121.248864,38.80762763,Rocklin,CA,61868
-122.6963908,38.34804156,Rohnert Park,CA,43435
-118.1640678,34.86266482,Rosamond,CA,18980
-119.2053628,35.38872164,Rosedale,CA,17084
-118.095023,34.06344863,Rosemead,CA,55662
-121.3551219,38.54774454,Rosemont,CA,23684
-121.2804576,38.75153471,Roseville,CA,133514
-118.082124,33.78802252,Rossmoor,CA,10749
-117.8911875,33.97159197,Rowland Heights,CA,50447
-121.4682989,38.56664114,Sacramento,CA,494322
-121.0865915,37.71543099,Salida,CA,14854
-121.6314377,36.68821765,Salinas,CA,155320
-122.570245,37.9817642,San Anselmo,CA,12933
-117.2849548,34.10853475,San Bernardino,CA,218604
-122.4313085,37.62538759,San Bruno,CA,44075
-119.229152,34.27398808,San Buenaventura (Ventura),CA,111828
-122.2685487,37.49813128,San Carlos,CA,29837
-117.6102197,33.44972155,San Clemente,CA,67111
-117.1455641,32.7203287,San Diego,CA,1397856
-116.7875816,33.00935336,San Diego Country Estates,CA,10606
-117.8096042,34.10771617,San Dimas,CA,35100
-118.4362426,34.28865321,San Fernando,CA,24877
-122.4424496,37.76692355,San Francisco,CA,871042
-118.0987308,34.09498426,San Gabriel,CA,41110
-119.5580274,36.70090361,Sanger,CA,25765
-116.9561052,33.78210724,San Jacinto,CA,48726
-121.8864149,37.33941397,San Jose,CA,1042940
-117.6543946,33.50089692,San Juan Capistrano,CA,37259
